"Symbol","Description","Convertible","Current Yield","Regular Call Price","Last Close","Cumulative","S&P Global's Credit Rating","Stated Call","Moody's Rating","Sector"
"SUNFF","SUN LIFE FINANCIAL INC.PFD CL A SR 8R","Yes","--","$25.00","$10.59","No","A-","Yes","NA","Financials"
"EPR/PRC","EPR PPTYSPFD C CV 5.75%","Yes","6.06%","$0.00","$23.70","Yes","B+","No","NA","Real Estate"
"EPR/PRE","EPR PPTYSCONV PFD 9% SR E","Yes","7.34%","$0.00","$30.65","Yes","B+","No","NA","Real Estate"
"BDRPF","BOMBARDIER INCPFD SER 2 ADJ","Yes","--","$25.00","$9.00","Yes","B-","Yes","NA","Industrials"
"BDRXF","BOMBARDIER INC6.25% PFD SER 4","Yes","6.56%","$25.00","$17.25","Yes","B-","Yes","NA","Industrials"
"ATGAF","ALTAGAS LTDPFD SHS SER G","Yes","--","$25.00","$0.00","Yes","BB","Yes","NA","Utilities"
"CPWPF","CAPITAL PWR CORP4.5 CUM PRF SR-5","Yes","--","$25.00","$17.70","No","BB","Yes","NA","Utilities"
"CNVEF","CENOVUS ENERGY INCCUM PFD SHS 1","Yes","--","$25.00","$0.00","Yes","BB","Yes","NA","Energy"
"AGQPF","ALGONQUIN PWR UTILS CORPRT RESET PFD-D","Yes","8.40%","$25.00","$14.49","Yes","BB+","Yes","NA","Utilities"
"BCEXF","BCE INC1ST PFD SER AK","Yes","--","$25.00","$0.00","Yes","BB+","Yes","NA","Communication Services"
"BCEFF","BCE INCPFD 1ST SER Y","Yes","--","$25.00","$0.00","Yes","BB+","Yes","NA","Communication Services"
"EP/PRC","EL PASO ENERGY CAP TR IPFD CV TR SEC 28","Yes","4.82%","$50.00","$49.31","Yes","BB+","Yes","Baa3","Energy"
"NBKCF","NATL BANK OF CANADA1ST PFD SHS 38","Yes","--","$25.00","$18.83","No","BB+","Yes","Baa3","Financials"
"NPICF","NORTHLAND POWER INCCUM FLTG PFD 2","Yes","23.38%","$25.00","$8.18","Yes","BB+","Yes","NA","Utilities"
"PPLAF","PEMBINA PIPELINE CORPCUM RE CL A PFD5","Yes","13.55%","$25.00","$9.00","Yes","BB+","Yes","NA","Energy"
"PMBPF","PEMBINA PIPELINE CORP4.5 % PFD CL A 7","Yes","6.23%","$25.00","$17.10","Yes","BB+","Yes","NA","Energy"
"PMMBF","PEMBINA PIPELINE CORPCUM PFD SER A 21","Yes","--","$25.00","$0.00","Yes","BB+","Yes","NA","Energy"
"PPLOF","PEMBINA PIPELINE CORPCUM RED PFD C","Yes","--","$25.00","$14.25","Yes","BB+","Yes","NA","Energy"
"WFC/PRL","WELLS FARGO CO NEWPERP PFD CNV A","Yes","6.13%","$0.00","$1,223.22","No","BB+","No","Baa2","Financials"
"LAUCF","LAURENTIAN BK OF CDAPFD SHS SER 13","Yes","--","$25.00","$16.74","No","BB-","Yes","NA","Financials"
"FRFXF","FAIRFAX FINL HLDGS LTDRESET CV PFD I","Yes","--","$25.00","$14.00","Yes","BBB","Yes","Ba1","Financials"
"FRTSF","FORTIS INCPREF SHS SER H","Yes","--","$25.00","$50.00","Yes","BBB","Yes","NA","Utilities"
"APO/PRA","APOLLO GLOBAL MGMT INCSER A MAND CNV","Yes","5.32%","$0.00","$63.40","Yes","BBB+","No","Baa1","Financials"
"KKR/PRD","KKR & CO INC6.25 CON SER D","Yes","6.45%","$0.00","$48.42","Yes","BBB+","No","NA","Financials"
"MNLCF","MANULIFE FINL CORPNONCUM PFD SHS","Yes","--","$25.00","$0.00","No","BBB+","Yes","NA","Financials"
"AATRL","AMG CAPITAL TR II5.15 CONV PFD","Yes","4.03%","$0.00","$63.84","Yes","BBB-","No","NA","--"
"BAC/PRL","BANK AMERICA CORP7.25%CNV PFD L","Yes","5.81%","$0.00","$1,248.00","No","BBB-","No","Baa2","Financials"
"ENBRF","ENBRIDGE INCRED PREF SHS 7","Yes","--","$25.00","$13.27","Yes","BBB-","Yes","NA","Energy"
"EBGEF","ENBRIDGE INCRED PRF SHS SER5","Yes","6.85%","$100.00","$24.38","Yes","BBB-","Yes","NA","Energy"
"ENBNF","ENBRIDGE INCPREF SHS SER 3","Yes","36.26%","$25.00","$2.64","Yes","BBB-","Yes","NA","Energy"
"EBBGF","ENBRIDGE INCCUM PREF SHS SR1","Yes","6.93%","$25.00","$24.20","Yes","BBB-","Yes","NA","Energy"
"ENBMF","ENBRIDGE INCPREF SER P 4%","Yes","--","$25.00","$9.00","Yes","BBB-","Yes","NA","Energy"
"ENNPF","ENBRIDGE INCCUM RED PF S N","Yes","7.99%","$25.00","$15.00","Yes","BBB-","Yes","NA","Energy"
"EBBNF","ENBRIDGE INCCUM RED PF S L","Yes","6.09%","$25.00","$24.06","Yes","BBB-","Yes","NA","Energy"
"EBRZF","ENBRIDGE INC4% CUM RED PFD D","Yes","--","$25.00","$0.00","Yes","BBB-","Yes","Ba1","Energy"
"TRPEF","TC ENERGY CORPPFD SHS SER 3","Yes","--","$25.00","$0.00","Yes","BBB-","Yes","NA","Energy"
"TCANF","TC ENERGY CORP4.4 CUM PFD SR 5","Yes","--","$25.00","$2.22","Yes","BBB-","Yes","NA","Energy"
"TRPPF","TC ENERGY CORPPFD-7","Yes","6.46%","$25.00","$16.60","Yes","BBB-","Yes","NA","Energy"
"TRPRF","TC ENERGY CORP4.25 CUM PFD SR9","Yes","5.93%","$25.00","$15.50","Yes","BBB-","Yes","NA","Energy"
"TDOMF","TORONTO DOMINION BK ONTPFD SER 9 3.7%","Yes","--","$25.00","$6.00","No","BBB-","Yes","Baa2","Financials"
"BRENF","BROOKFIELD RENEWABLE PARTNERS5.5 CL A PFD SR7","Yes","--","$25.00","$17.75","Yes","BBB-","Yes","NA","--"
"FNMFO","FEDERAL NATL MTG ASSNPFD CV 5.375%","Yes","0.00%","$105,000.00","$40,000.00","No","D","Yes","Ca","Financials"
"HL/PRB","HECLA MNG COPFD CV SER B","Yes","5.96%","$50.00","$58.70","Yes","D","Yes","NA","Materials"
"ALB/PRA","ALBEMARLE CORP7.25% DEP SHS A","Yes","8.73%","$0.00","$41.52","No","NA","No","NA","Materials"
"AERGP","APPLIED ENERGETICS INCPFD CON SER A","Yes","--","$25.00","$24.00","No","NA","Yes","NA","Industrials"
"BCEPF","BCE INCPFD 1ST SR","Yes","--","$25.00","$0.00","Yes","NA","Yes","NA","Communication Services"
"BCPPF","BCE INCPFD 1ST SER AA","Yes","--","$25.00","$9.75","Yes","NA","Yes","NA","Communication Services"
"BA/PRA","BOEING CODEP CONV PFD A","Yes","4.45%","$0.00","$67.44","Yes","NA","No","NA","Industrials"
"BOMBF","BOMBARDIER INCPFD S-3 ADJ R","Yes","--","$25.00","$8.50","Yes","NA","Yes","NA","Industrials"
"BHR/PRB","BRAEMAR HOTELS & RESORTS INC5.5 CUM CV PFD B","Yes","9.05%","$25.00","$15.20","Yes","NA","Yes","NA","Real Estate"
"BMYMP","BRISTOL-MYERS SQUIBB COPFD CONV 2","Yes","0.27%","$50.00","$750.00","Yes","NA","Yes","NA","Health Care"
"BRPSF","BROOKFIELD CORPPREF CL A SER 17","Yes","--","$25.00","$0.00","Yes","NA","Yes","NA","Financials"
"BKAMF","BROOKFIELD CORPPREF CL A SER 30","Yes","--","$25.00","$8.00","Yes","NA","Yes","NA","Financials"
"BAMGF","BROOKFIELD CORPPREF CL A SER 24","Yes","--","$25.00","$13.40","Yes","NA","Yes","NA","Financials"
"BRKRP","BRUKER CORP6.375 PREF SER A","Yes","5.50%","$0.00","$289.65","Yes","NA","No","NA","Health Care"
"CTLPP","CANTALOUPE INCPFD","Yes","0.00%","$11.00","$56.11","Yes","NA","Yes","NA","Financials"
"GTLS/PRB","CHART INDS INC6.75DP CNV PFD B","Yes","4.75%","$0.00","$71.10","Yes","NA","No","NA","Industrials"
"BGMSP","BIO GREEN MED SOLUTION  INCPFD CONV EX 6%","Yes","10.74%","$10.00","$5.59","Yes","NA","Yes","NA","Health Care"
"ECNNF","ECN CAP CORP6.25% RST C","Yes","--","$25.00","$8.00","Yes","NA","Yes","NA","Financials"
"GMBLP","ESPORTS ENTMT GROUP INC10% CONV PFD A","Yes","0.00%","$11.00","$0.05","Yes","NA","Yes","NA","Consumer Discretionary"
"XELAP","EXELA TECHNOLOGIES INC6% CONV PFD SR B","Yes","0.00%","$0.00","$0.20","Yes","NA","No","NA","Industrials"
"FCELB","FUELCELL ENERGY INCPFD PERP CNV B","Yes","14.83%","$1,000.00","$337.10","Yes","NA","Yes","NA","Industrials"
"HCIIP","HCI GROUP INCPFD SER A 7%","Yes","--","$10.00","$9.00","Yes","NA","Yes","NA","Financials"
"HPE/PRC","HEWLETT PACKARD ENTERPRISE CO7.625 MAND CONV","Yes","5.62%","$0.00","$67.85","Yes","NA","No","NA","Information Technology"
"INTAF","INTACT FINL CORP4.20% NCUM SR 3","Yes","--","$25.00","$0.00","No","NA","Yes","NA","Financials"
"KIM/PRN","KIMCO RLTY CORPDP CV CL N 7.25%","Yes","6.04%","$0.00","$59.98","Yes","NA","No","NA","Real Estate"
"LXP/PRC","LXP INDUSTRIAL TRUSTPFD CONV SER C","Yes","6.90%","$0.00","$47.10","Yes","NA","No","NA","Real Estate"
"MHGUP","MERITAGE HOSPITALITY GROUP INCPFD CV SER B","Yes","7.69%","$10.00","$10.40","Yes","NA","Yes","NA","Consumer Discretionary"
"STRK","STRATEGY INCSERIES A PERP PF","Yes","8.71%","$100.00","$91.80","Yes","NA","Yes","NA","Information Technology"
"MCHPP","MICROCHIP TECHNOLOGY INC.DEP SHS REPSTG","Yes","6.61%","$0.00","$56.74","Yes","NA","No","NA","Information Technology"
"NCRRP","NCR VOYIX CORPORATION5.5% PFD CNV A","Yes","--","$0.00","$980.04","No","NA","No","NA","Information Technology"
"NMPRY","NAVIOS MARITIME HOLDINGS INCSPON ADR PFD H","Yes","0.00%","$25.00","$4.28","No","NA","Yes","NA","--"
"PCG/PRX","PG&E CORPPFD CONV SER A","Yes","7.32%","$0.00","$40.98","Yes","NA","No","NA","Utilities"
"PEB/PRE","PEBBLEBROOK HOTEL TR6.375 PFD SER E","Yes","8.30%","$25.00","$19.21","Yes","NA","Yes","NA","Real Estate"
"PEB/PRF","PEBBLEBROOK HOTEL TR6.3 CUM PFD SR F","Yes","7.96%","$25.00","$19.78","Yes","NA","Yes","NA","Real Estate"
"RC/PRC","READY CAPITAL CORP6.25 CNV PFD C","Yes","10.50%","$0.00","$14.88","Yes","NA","No","NA","Financials"
"FOUR/PRA","SHIFT4 PMTS INC6 SER A CNV PREF","Yes","6.37%","$0.00","$94.26","Yes","NA","No","NA","Financials"
"QXO/PRB","QXO INC5.50 DEP PFD","Yes","5.11%","$0.00","$53.84","Yes","NA","No","NA","Industrials"
"SPE/PRC","SPECIAL OPPORTUNITIES FD INC2.75% CNV PFD C","Yes","2.77%","$25.00","$24.80","Yes","NA","Yes","NA","--"
"TNCAF","TC ENERGY CORPCUM 1ST PFD SR 2","Yes","10.12%","$25.00","$9.18","Yes","NA","Yes","NA","Energy"
"TCENF","TC ENERGY CORPPFD-4","Yes","--","$25.00","$0.00","Yes","NA","Yes","NA","Energy"
"TDBCP","TORONTO DOMINION BK ONT5 YR RST PFD 1","Yes","--","$25.00","$15.00","No","NA","Yes","Baa2","Financials"
"WHLRP","WHEELER REAL ESTATE INVT TR INCV PFD SER B","Yes","0.00%","$0.00","$4.16","Yes","NA","No","NA","Real Estate"
"WHLRL","WHEELER REAL ESTATE INVT TR IN7% SR NT 31","Yes","1.80%","$25.00","$96.97","No","NA","Yes","NA","Real Estate"
"CDUTF","CANADIAN UTILS LTD2ND PFD FF","Yes","--","$25.00","$0.00","Yes","NR","Yes","NA","Utilities"
"FLG/PRU","FLAGSTAR FINANCIAL INCUNIT 05/07/51","Yes","7.75%","$0.00","$38.72","No","NR","No","B2","--"
"RLJ/PRA","RLJ LODGING TRCUM CONV PFD A","Yes","7.77%","$0.00","$25.10","Yes","NR","No","NA","Real Estate"
"VNORP","VORNADO RLTY TRPFD CONV SER A","Yes","5.00%","$0.00","$65.00","Yes","NR","No","Ba3","Real Estate"